Rahul Sud


IMAGE NO., DETECTOR TYPE, DESCRIPTOR TYPE, TOTAL KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHED KEYPOINTS, MATCHER ELAPSED TIME
0, HARRIS, FREAK, 115, 0.00602047, 8.17e-07, 513595792, 6.95296e-310
1, HARRIS, FREAK, 98, 0.00617476, 9.53e-07, 0, 3.186e-06
2, HARRIS, FREAK, 113, 0.00604408, 6.92e-07, 0, 2.092e-06
3, HARRIS, FREAK, 121, 0.00616432, 7.9e-07, 0, 2.674e-06
4, HARRIS, FREAK, 160, 0.00640197, 5.96e-07, 0, 2.029e-06
5, HARRIS, FREAK, 383, 0.016228, 6.38e-07, 0, 1.932e-06
6, HARRIS, FREAK, 85, 0.00570371, 1.069e-06, 0, 2.326e-06
7, HARRIS, FREAK, 210, 0.0072963, 1.007e-06, 0, 2.527e-06
8, HARRIS, FREAK, 171, 0.00654124, 5.16e-07, 0, 2.291e-06
9, HARRIS, FREAK, 281, 0.0102431, 7.51e-07, 0, 2.171e-06

0, FAST, BRISK, 1824, 0.000514935, 0.00105965, 513595792, 6.95296e-310
1, FAST, BRISK, 1832, 0.000482577, 0.00109856, 97, 0.000149752
2, FAST, BRISK, 1810, 0.000476837, 0.00105583, 104, 0.000131237
3, FAST, BRISK, 1817, 0.000479251, 0.00108618, 101, 0.000137212
4, FAST, BRISK, 1793, 0.000478642, 0.00105216, 98, 0.000156865
5, FAST, BRISK, 1796, 0.000474105, 0.00103979, 85, 0.000148642
6, FAST, BRISK, 1788, 0.000478905, 0.00109931, 107, 0.00013534
7, FAST, BRISK, 1695, 0.000473535, 0.00111661, 107, 0.000117769
8, FAST, BRISK, 1749, 0.000479575, 0.00099273, 100, 0.000114846
9, FAST, BRISK, 1770, 0.00048337, 0.00106447, 100, 0.000139405

0, FAST, BRIEF, 1824, 0.000483152, 0.000374689, 513595792, 6.95296e-310
1, FAST, BRIEF, 1832, 0.000476105, 0.000350213, 119, 0.000105304
2, FAST, BRIEF, 1810, 0.000473197, 0.000394529, 130, 0.000111197
3, FAST, BRIEF, 1817, 0.000478656, 0.000376635, 118, 0.000118009
4, FAST, BRIEF, 1793, 0.000478971, 0.000349226, 126, 0.000110943
5, FAST, BRIEF, 1796, 0.000469052, 0.000330697, 108, 0.000119528
6, FAST, BRIEF, 1788, 0.000476184, 0.000402856, 123, 0.000101681
7, FAST, BRIEF, 1695, 0.000471264, 0.000374852, 131, 0.000128259
8, FAST, BRIEF, 1749, 0.00047759, 0.000322715, 125, 9.5359e-05
9, FAST, BRIEF, 1770, 0.000475662, 0.00031595, 119, 9.5399e-05

0, FAST, ORB, 1824, 0.000485941, 0.00209292, 513595792, 6.95296e-310
1, FAST, ORB, 1832, 0.000478259, 0.0020729, 122, 0.000141448
2, FAST, ORB, 1810, 0.000475011, 0.00207603, 122, 0.000126405
3, FAST, ORB, 1817, 0.000479066, 0.0020888, 115, 0.000137314
4, FAST, ORB, 1793, 0.000474046, 0.00205314, 129, 0.000123801
5, FAST, ORB, 1796, 0.000471592, 0.00206302, 107, 0.000113579
6, FAST, ORB, 1788, 0.000474252, 0.00208636, 120, 0.000132842
7, FAST, ORB, 1695, 0.00046885, 0.00206838, 126, 0.000132684
8, FAST, ORB, 1749, 0.000480037, 0.00208845, 122, 0.000125491
9, FAST, ORB, 1770, 0.000476764, 0.00206158, 118, 0.000117303

0, FAST, FREAK, 1824, 0.00048266, 0.0170265, 513595792, 6.95296e-310
1, FAST, FREAK, 1832, 0.000483071, 0.0170375, 97, 0.000132895
2, FAST, FREAK, 1810, 0.000477648, 0.0170236, 98, 0.000137893
